SP#;Species;Age;Sex;Height (mm);Body Mass (g);Femur Length;Femur Circumference
HTH 0707;Homo sapiens;38;M;1665;63502;443,5;90
HTH 0708;Homo sapiens;32;M;1612;58060;448;85
HTH 0709;Homo sapiens;33;M;1772;59421;484,5;90,5
HTH 0706;Homo sapiens;38;M;1672;68946;441;94
HTH 0705;Homo sapiens;33;M;1718;70307;475;91,5
HTH 0727;Homo sapiens;40;F;1716;58060;455;80,5
HTH 0704;Homo sapiens;29;F;1604;68039;405,5;85
HTH 0668;Homo sapiens;37;F;1673;55338;437,5;80,5
HTH 0673;Homo sapiens;38;F;1676;59874;445,5;79,5
HTH 0631;Homo sapiens;36;F;1617;58060;451;80
