Clade.1,Clade.2,Clade.3,Sec_Ref,Primary_Ref,Method,Taxon,EBM.ref.sp,Aves,BM.g,Pneumatic,BM.Qual,Meas.sp,HumerusLen,HumerusCirc,FemurCirc,FemurLen,TibulaLen,TibiaCirc,TarsusLen,TarusCirc,Sex,Comments,Living,humerus_diameter_(mm),tarsus_diameter_(mm),coracoid_HAF_(mm),coracoid_HAF_(mm),coracoid_max_length
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Colbert_(1962),Physical,Allosaurus_fragilis,AMNH_275,N,2087000,,,AMNH_275,,,355,,,,,,,C._R._Knight_reconstruction;_thoracic_region_too_thin_and_should_underestimate,0,,,,,
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Alexander_(1989),Physical,Allosaurus_fragilis,AMNH_275,N,2300000,,,AMNH_275,,,355,,,,,,,C._R._Knight_reconstruction;_recalculated_from_Colbert_(1962)_using_a_density_of_1000kg/m3_compared_to_the_original_900kg/m3,0,,,,,
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Gunga_et_al._(1999),Photogrammetry,Allosaurus_fragilis,AMNH_275,N,3300000,,,AMNH_275,,,355,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Paul_(1988),Physical,Struthiomimus_altus,AMNH_5339,N,153000,,,AMNH_5339,,,136,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Struthiomimus_altus,AMNH_5339,N,175000,,,AMNH_5339,,,136,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Henderson_(2018),Slicing,Struthiomimus_altus,AMNH_5339,N,201000,,,AMNH_5339,,,136,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Daspletosaurus_torosus,AMNH_5438,N,2300000,,,AMNH_5438,,,390,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Christiansen_&_Fariña_(2004),Physical,Daspletosaurus_torosus,AMNH_5438,N,2700000,,,AMNH_5438,,,390,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Gorgosaurus_libratus,AMNH_5458,N,2465000,,,AMNH_5458,,,357,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Gorgosaurus_libratus,AMNH_5458,N,2500000,,,AMNH_5458,,,357,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Henderson_&_Snively_(2004),Slicing,Gorgosaurus_libratus,AMNH_5458,N,2795000,,,AMNH_5458,,,357,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Snively_et_al._(2019),Slicing,Gorgosaurus_libratus,AMNH_5458/CMN_2120,N,2427300,,,AMNH_5458,,,357,,,,,,,,0,,,,,
Theropoda,Coelurosauria,,Campione_&_Evans_2020,Paul_(1988),Physical,Ornitholestes_hermanni,AMNH_619,N,12600,,,TMP_66.2.3_(cast_of_AMNH_619),,,71,,,,,,,,0,,,,,
Theropoda,Coelurosauria,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Ornitholestes_hermanni,AMNH_619,N,13500,,,TMP_66.2.3_(cast_of_AMNH_619),,,71,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Henderson_&_Snively_(2004),Slicing,Coelophysis_bauri,AMNH_7223,N,12140,,,AMNH_7223,,,49,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Paul_(1997),Physical,Coelophysis_bauri,AMNH_7223,N,13500,,,AMNH_7223,,,49,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Coelophysis_bauri,AMNH_7223,N,15300,,,AMNH_7223,,,49,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Coelophysis_bauri,AMNH_7223,N,16000,,,AMNH_7223,,,49,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Paul_(1997),Physical,Coelophysis_bauri,AMNH_7224,N,17800,,,AMNH_7223,,,49,,,,,,,,0,,,,,
