Paper,Clade.2,Method,Taxon,EBM.ref.sp,BM.g,mature,sex,FC,FL,Living
Campione&Evans2020,Dinosauromorpha,Scan,Marasuchus lilloensis,BMNH R14101,288,,,,,0
Campione&Evans2020,Dinosauromorpha,Scan,Marasuchus lilloensis,BMNH R14101,382,,,,,0
Campione&Evans2020,Dinosauromorpha,Scan,Marasuchus lilloensis,BMNH R14101,194,,,,,0
Campione&Evans2020,Dinosauromorpha,MCH,Marasuchus lilloensis,BMNH R14101,156,,,,,0
Campione&Evans2020,Dinosauromorpha,MCH,Marasuchus lilloensis,BMNH R14101,188,,,,,0
Campione&Evans2020,Dinosauromorpha,MCH,Marasuchus lilloensis,BMNH R14101,274,,,,,0
Campione&Evans2020,Dinosauromorpha,Physical,Marasuchus lilloensis,PVL 3871,180,,,,,0
Campione&Evans2020,Dinosauromorpha,Physical,Silesaurus opolensis,ZPAL Ab 111/361,9000,,,,,0
Campione&Evans2020,Marginocephalia,Physical,Homalocephale calathocercos,GI SPS 100/51,36000,Y,,83,,0
Campione&Evans2020,Marginocephalia,Polynomial,Homalocephale calathocercos,MPC-D 100/1201,73700,Y,,83,,0
Campione&Evans2020,Marginocephalia,Physical,Pachycephalosaurus wyomingensis,AMNH 1696,450000,,,189,,0
Campione&Evans2020,Marginocephalia,Physical,Psittacosaurus mongoliensis,AMNH 6254,14000,Y,,57,,0
Campione&Evans2020,Marginocephalia,Polynomial,Psittacosaurus mongoliensis,AMNH 6253,12100,Y,,57,,0
Campione&Evans2020,Marginocephalia,Slicing,Psittacosaurus neimongoliensis,AMNH 6254,20300,,,57,,0
Campione&Evans2020,Marginocephalia,Slicing,Psittacosaurus neimongoliensis,IVPP V120888,8000,,,47.8,,0
Campione&Evans2020,Marginocephalia,Physical,Psittacosaurus neimongoliensis,IVPP V120889,7900,,,47.8,,0
Campione&Evans2020,Marginocephalia,Polynomial,Stegoceras validum,UALVP 2,26700,Y,,68,,0
Campione&Evans2020,Ornithischia,Slicing,Fruitadens haagarorum,LACM 115727,740,,,19.6,,0
Campione&Evans2020,Ornithischia,Scan,Heterodontosaurus tucki,UCMP 12916,4500,,,,,0
Campione&Evans2020,Ornithischia,Scan,Heterodontosaurus tucki,UCMP 12916,5990,,,,,0
Campione&Evans2020,Ornithischia,Scan,Heterodontosaurus tucki,UCMP 12916,3020,,,,,0
Campione&Evans2020,Ornithischia,MCH,Heterodontosaurus tucki,UCMP 12916,2037,,,,,0
Campione&Evans2020,Ornithischia,MCH,Heterodontosaurus tucki,UCMP 12916,2515,,,,,0
Campione&Evans2020,Ornithischia,MCH,Heterodontosaurus tucki,UCMP 12916,3739,,,,,0
Campione&Evans2020,Ornithischia,Physical,Heterodontosaurus tucki,SAM-PK-K1332,3400,,,,,0
Campione&Evans2020,Ornithischia,Polynomial,Heterodontosaurus tucki,SAM-PK-K1332,1800,,,,,0
Campione&Evans2020,Ornithischia,Physical,Hexinlusaurus multidens,ZDM T6001,7500,,,,,0
Campione&Evans2020,Ornithischia,Physical,Laosaurus consors,YPM 1882,31000,,,92.5,,0
Campione&Evans2020,Ornithischia,Physical,Lesothosaurus diagnosticus,ZDUC B17,2400,,,43,,0
Campione&Evans2020,Ornithischia,Scan,Lesothosaurus diagnosticus,BMNH RUB 17,5000,,,43,,0
Campione&Evans2020,Ornithischia,Slicing,Scelidosaurus harrisonii,BMNH R1111,323000,Y,,174,,0
Campione&Evans2020,Ornithischia,Slicing,Scelidosaurus harrisonii,BMNH R1111,114000,Y,,174,,0
Campione&Evans2020,Ornithischia,Slicing,Scutellosaurus lawleri,MNA Pl.175,3000,,,,,0
Campione&Evans2020,Ornithischia,Physical,Scutellosaurus lawleri,MNA 1752,5000,,,,,0
Campione&Evans2020,Ornithopoda,Physical,Dryosaurus altus,YPM 1876,103000,,,133,,0
Campione&Evans2020,Ornithopoda,Polynomial,Dryosaurus altus,Several,104300,,,133,,0
Campione&Evans2020,Ornithopoda,Physical,Dysalotosaurus lettowvorbecki,HMN dy 36,79000,,,120.5,,0
Campione&Evans2020,Ornithopoda,Physical,Gasparinisaura cincosaltensis,MUCPv-215,13000,,,55,,0
Campione&Evans2020,Ornithopoda,Polynomial,Gasparinisaura cincosaltensis,MUCPv-208,980,,,55,,0
Campione&Evans2020,Ornithopoda,Slicing,Hypsilophodon foxii,BMNH R196,15600,N,,55,,0
Campione&Evans2020,Ornithopoda,Physical,Hypsilophodon foxii,BMNH R5829,21000,,,74,,0
Campione&Evans2020,Ornithopoda,Polynomial,Hypsilophodon foxii,BMNH R196,7000,N,,55,,0
Campione&Evans2020,Ornithopoda,Physical,Parksosaurus warreni,ROM 804,43000,,,103,,0
Campione&Evans2020,Ornithopoda,Physical,Talenkauen santacrucensis,MPM 10001,308000,,,,,0
Campione&Evans2020,Ornithopoda,Polynomial,Yandusaurus hongheensis,Brett-Surman (1997),6600,,,,,0
Campione&Evans2020,Stegosauria,Polynomial,Anchisaurus sinensis,,84000,,,70,,0
Campione&Evans2020,Stegosauria,Physical,Scelidosaurus harrisonii,BMNH R1111,250000,Y,,174,,0
Campione&Evans2020,Stegosauria,Polynomial,Scelidosaurus harrisonii,Galton (1997),64500,Y,,174,,0
Campione&Evans2020,Sauropodomorpha,Physical,Anchisaurus sinensis,YPM 1883,20000,,,70,,0
Campione&Evans2020,Sauropodomorpha,Physical,Eoraptor lunensis,PVSJ 512,1900,,,62,,0
Campione&Evans2020,Sauropodomorpha,Polynomial,Eoraptor lunensis,PVSJ 512,2700,,,62,,0
Campione&Evans2020,Sauropodomorpha,Physical,Jingshanosaurus xinwaensis,MLD LV003,1600000,,,,,0
Campione&Evans2020,Sauropodomorpha,MCH,Lufengosaurus huenei,IVPP V15,1213060,,,365,,0
Campione&Evans2020,Sauropodomorpha,MCH,Lufengosaurus huenei,IVPP V15,1496860,,,365,,0
Campione&Evans2020,Sauropodomorpha,MCH,Lufengosaurus huenei,IVPP V15,2068910,,,365,,0
Campione&Evans2020,Sauropodomorpha,Physical,Lufengosaurus huenei,IVPP V15,1650000,,,365,,0
Campione&Evans2020,Sauropodomorpha,Polynomial,Lufengosaurus huenei,,1193300,,,365,,0
Campione&Evans2020,Sauropodomorpha,Physical,Massospondylus carinatus,QG 1159,93000,,,135,,0
Campione&Evans2020,Sauropodomorpha,Physical,Massospondylus carinatus,BPI 3054,190000,,,,,0
Campione&Evans2020,Sauropodomorpha,Polynomial,Massospondylus carinatus,Paul (1990),136700,,,135,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1 & GPIT2,1020000,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1 & GPIT2,484000,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1 & GPIT2,753000,N,,205,,0
Campione&Evans2020,Sauropodomorpha,MCH,Plateosaurus engelhardti,GPIT1 & GPIT2,389200,N,,205,,0
Campione&Evans2020,Sauropodomorpha,MCH,Plateosaurus engelhardti,GPIT1 & GPIT2,494330,N,,205,,0
Campione&Evans2020,Sauropodomorpha,MCH,Plateosaurus engelhardti,GPIT1 & GPIT2,714170,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1,630000,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1,912000,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1,660240,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1,692640,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1,782070,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1,749340,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Scan,Plateosaurus engelhardti,GPIT1,837500,N,,205,,0
Campione&Evans2020,Sauropodomorpha,Physical,Plateosaurus engelhardti,BSP XLVI,1850000,,,,,0
Campione&Evans2020,Sauropodomorpha,Polynomial,Plateosaurus engelhardti,AMNH 6810,1072600,,,236.5,,0
Campione&Evans2020,Sauropodomorpha,Physical,Plateosaurus gracilis,SMNS 11838,230000,,,,,0
Campione&Evans2020,Sauropodomorpha,Physical,Plateosaurus gracilis,SMNS 5715,260000,,,,,0
Campione&Evans2020,Sauropodomorpha,Slicing,Plateosaurus longiceps,HMN XXV,279000,,,236.5,,0
Campione&Evans2020,Sauropodomorpha,Physical,Plateosaurus longiceps,HMN XXV,440000,,,236.5,,0
Campione&Evans2020,Sauropodomorpha,Physical,Riojasaurus incertus,PVL 3808,500000,,,285,,0
Campione&Evans2020,Sauropodomorpha,Physical,Riojasaurus incertus,PVL 3808,820000,,,285,,0
Campione&Evans2020,Sauropodomorpha,Polynomial,Riojasaurus incertus,van Heerden (1997),3038700,,,285,,0
Campione&Evans2020,Sauropodomorpha,Polynomial,Thecodontosaurus antiquus,Several,24600,,,,,0
Campione&Evans2020,Sauropodomorpha,Physical,Yunnanosaurus huangi,IVP AS V20,230000,,,,,0
Campione&Evans2020,Allosauroidea,Physical,Allosaurus fragilis,,2300000,,,355,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,SMA 0005,1340000,N,,275,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,SMA 0005,1880000,N,,275,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,SMA 0005,895000,N,,275,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,MOR 693,1500910,N,,274.5,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,MOR 693,1307690,N,,274.5,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,MOR 693,1705970,N,,274.5,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,MOR 693,1831300,N,,274.5,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,MOR 693,1976850,N,,274.5,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,MOR 693,1564440,N,,274.5,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,MOR 693,1412340,N,,274.5,,0
Campione&Evans2020,Allosauroidea,Scan,Allosaurus fragilis,MOR 693,1537730,N,,274.5,,0
Campione&Evans2020,Allosauroidea,Physical,Allosaurus fragilis,,1620000,,,355,,0
Campione&Evans2020,Allosauroidea,Physical,Allosaurus fragilis,,2087000,,,355,,0
Campione&Evans2020,Allosauroidea,Photogrammetry,Allosaurus fragilis,,3300000,,,355,,0
Campione&Evans2020,Allosauroidea,Slicing,Allosaurus fragilis,YPM 1930,1092000,N,,305,,0
Campione&Evans2020,Allosauroidea,Slicing,Allosaurus fragilis,Madsen (1976),984000,,,305,,0
Campione&Evans2020,Allosauroidea,Slicing,Allosaurus fragilis,USNM 4734,963000,N,,338,,0
Campione&Evans2020,Allosauroidea,Physical,Allosaurus fragilis,UUVP 6000,1320000,,,338,,0
