Order,Family,Species,JetzTreeName,Humerus_length_mm,Ulna_length_mm,Radius_length_mm,Carpometacarpus_length_mm,Femur_length_mm,Tibiotarsus_length_mm,Tarsometatarsus_length_mm,Spec_no.,Reference,Body_mass_g,Foraging_niche,TrophicEcology,Habitat,Kipps.dist
Podicipediformes,Podicipedidae,Aechmophorus_clarkii,Aechmophorus_clarkii,115.95,104.25,NA,50.31,45.34,119.61,74.83,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",1090.9,Aquatic dive,Aquatic predator,Wetland,79.8
Podicipediformes,Podicipedidae,Aechmophorus_occidentalis,Aechmophorus_occidentalis,116.83,104.17,NA,51.5,45.33,116.55,73.37,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",1137,Aquatic dive,Aquatic predator,Wetland,75.4
Charadriiformes,Alcidae,Aethia_cristatella,Aethia_cristatella,53.1,45.08,NA,29.65,34.63,56.13,28.19,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",259.4,Aquatic dive,Aquatic predator,Marine,61
Charadriiformes,Alcidae,Aethia_pusilla,Aethia_pusilla,34.51,28.79,NA,18.79,22.56,36.86,18.41,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",84,Aquatic dive,Aquatic predator,Marine,37.7
Anseriformes,Anatidae,Aix_sponsa,Aix_sponsa,71.64,58.72,NA,45.91,42.49,64.55,35.7,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",657.6,NA,Omnivore,Wetland,108.5
Charadriiformes,Alcidae,Alca_torda,Alca_torda,81.32,65.1,NA,42.74,44.5,75.65,34.94,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",726,Aquatic dive,Aquatic predator,Marine,116.5
Charadriiformes,Alcidae,Alle_alle,Alle_alle,41,34.32,NA,22.24,26.71,43.24,19.77,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",180.7,Aquatic dive,Aquatic predator,Marine,59.5
Psittaciformes,Psittacidae,Amazona_ochrocephala,Amazona_ochrocephala,62.14,74.21,NA,41.28,52.55,70.18,25.54,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",476.9,NA,Omnivore,Forest,60.8
Anseriformes,Anatidae,Anas_acuta,Anas_acuta,86,75.9,NA,52.76,44.54,75.9,41.04,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",944.6,Herbivore aquatic surface,Herbivore aquatic,Wetland,148.4
Anseriformes,Anatidae,Anas_americana,Anas_americana,82.37,71.06,NA,51.9,44.81,74.3,39.55,Unknown,"Hini?-Frlog S. & Motani R., 2010. J.Evol.Biol., 23: 372-385.",754.61,NA,NA,NA,NA
