Clade.1,Clade.2,Clade.3,Sec_Ref,Primary_Ref,Method,Taxon,EBM.ref.sp,Aves,BM.g,Pneumatic,BM.Qual,Meas.sp,HumerusLen,HumerusCirc,FemurCirc,FemurLen,TibulaLen,TibiaCirc,TarsusLen,TarusCirc,Sex,Comments,Living,humerus_diameter_(mm),tarsus_diameter_(mm),coracoid_HAF_(mm),coracoid_HAF_(mm),coracoid_max_length
Neognathae,Anseriformes,Dromornithidae,Chan_(2017),Chan_(2017),Physical,Dromornis_stirtoni,SAM_P22830_(cast),Y,,,,,,,270,424.3,,,,,,,0,,,,,
Neognathae,Anseriformes,Dromornithidae,Chan_(2017),Chan_(2017),Physical,Genyornis_newtoni,SAM_P13878,Y,,,,,,,236,346.7,,,,,,,0,,,,,
Neognathae,Gastornithiformes,Gastornithidae,Chan_(2017),Chan_(2017),Physical,Diatryma,USNM_V15118,Y,,,,,,,171,339.3,,,,,,,0,,,,,
Neognathae,Anseriformes,Dromornithidae,Chan_(2017),Chan_(2017),Physical,Genyornis_newtoni,SAM_P13564,Y,,,,,,,229.8,339,,,,,,,0,,,,,
Neognathae,Anseriformes,Dromornithidae,Chan_(2017),Chan_(2017),Physical,Genyornis_newtoni,SAM_P17001,Y,,,,,,,206.1,331.7,,,,,,,0,,,,,
Neognathae,Anseriformes,Dromornithidae,Chan_(2017),Chan_(2017),Physical,Genyornis_newtoni,SAM_P17003,Y,,,,,,,,328.3,,,,,,,0,,,,,
Neognathae,Anseriformes,Dromornithidae,Chan_(2017),Chan_(2017),Physical,Genyornis_newtoni,SAM_P17004,Y,,,,,,,210.2,316.7,,,,,,,0,,,,,
Neognathae,Anseriformes,Dromornithidae,Chan_(2017),Chan_(2017),Physical,Dromornis_australis,SAM_P17107_(cast),Y,,,,,,,172,281.5,,,,,,,0,,,,,
Neognathae,Columbiformes,Columbidae,Chan_(2017),Chan_(2017),Physical,Pezophaps_solitaria,USNM_V7122,Y,,,,,,,65.8,182.1,,,,,,,0,,,,,
Neognathae,Gruiformes,Aptornithidae,Chan_(2017),Chan_(2017),Physical,Aptornis_defossor,AIM_LB566,Y,,,,,,,67.1,176.8,241.8,54.7,,,,,0,,,,,
Neognathae,Gruiformes,Aptornithidae,Chan_(2017),Chan_(2017),Physical,Aptornis_otidiformis,AIM_LB3621,Y,,,,,,,63.7,164.4,,,,,,,0,,,,,
Neognathae,Cathartiformes,Cathartidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Vultur_gryphus,NHMLAC_unknown,Y,11236.1,,,,288.5,,,160.5,245,,133.51,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Chan_(2017),Chan_(2017),Physical,Cnemiornis_calcitrans,SAM_P160495,Y,,,,,,,73.3,160,254.3,59.1,,,,,0,,,,,
Neognathae,Galliformes,Megapodidae,Chan_(2017),Chan_(2017),Physical,Megavitiornis_altirostris,MNZ_S37392,Y,,,,,,,50.7,158.8,,,,,,,0,,,,,
Neognathae,Columbiformes,Columbidae,Chan_(2017),Chan_(2017),Physical,Raphus_cuculatus,MNZ_S38986,Y,,,,,,,58.2,156.3,211.7,52.3,,,,,0,,,,,
Neognathae,Ciconiiformes,,Field_et_al_(2013),Field_et_al_(2013),Physical,Ciconia_ciconia,YPM_102549,Y,3571,,,,282,64.09,49.15,155.14,399,,332.66,31.39,M,,1,11.48,11.68,15.21,16.84,106.6
Neognathae,Cathartiformes,Cathartidae,Brinkworth_et_al_2023,"Fisher_H.I._1946._Am.Mid.Nat.,_35(3):_545729",Physical,Vultur_gryphus,Unknown,Y,11236.1,,,,280,,,153.1,243,,130.1,,,,1,,,,,
Neognathae,Cariamiformes,Phorusrhacidae,Chan_(2017),Chan_(2017),Physical,Psilopterus_lemoinei,MPMPV3511,Y,,,,,,,47.2,152.9,,,,,,,0,,,,,
Neognathae,Galliformes,Megapodidae,Chan_(2017),Chan_(2017),Physical,Megavitiornis_altirostris,MNZ_S37390,Y,,,,,,,48.7,149.2,,,,,,,0,,,,,
Neognathae,Gruiformes,Aptornithidae,Chan_(2017),Chan_(2017),Physical,Aptornis_otidiformis,AIM_LB5871,Y,,,,,,,59.7,148.7,,,,,,,0,,,,,
Neognathae,Cathartiformes,Cathartidae,Brinkworth_et_al_2023,"Bohmer_et_al.,_2019._.Proc.R.soc.B",Physical,Vultur_gryphus,MNHN_ZO_1973202,Y,11236.1,,,,,,,147.0999991,217.3000018,,120.2000006,,,,1,,,,,
Neognathae,Otidiformes,Otididae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Ardeotis_kori,NHMLAC_unknown,Y,7994.2,,,,267.5,,,145.52,302,,253,,,,1,,,,,
Neognathae,Gruiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Grus_antigone,ROM_150920,Y,6800,0,,,257.55,53.65,44.6,145,380.6,42.9,,,,,1,,,,,
Neognathae,Gruiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Grus_antigone,ROM_96150,Y,6550,0,,,,,39.25,143.45,375,37.25,,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Zhang_et_al.,_2010._J.Ornth",Physical,Aegypius_monachus,Unknown,Y,9320.6,,,,280,,,143,211,,134,,,,1,,,,,
Neognathae,Gruiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Bugeranus_carunculatus,ROM_124447,Y,4990,0,,,,,39.25,141.85,364.5,39.45,,,,,1,,,,,
Neognathae,Galliformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Meleagris_gallopavo,ROM_29224,Y,8800,0,,,152.8,44.45,39.3,141.65,228.95,33,,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Bohmer_et_al.,_2019._.Proc.R.soc.B",Physical,Gyps_fulvus,MNHN_ZO_199643,Y,7436,,,,,,,140.1900014,189.9999996,,113.3100001,,,,1,,,,,
Neognathae,Gruiformes,Gruidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Antigone_antigone,MCZ_6600,Y,5916.22,,,,277,,,140,374,,332,,,,1,,,,,
Neognathae,Galliformes,Meleagrididae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Meleagris_gallopavo,MCZ_1494,Y,5791.4,,,,156,,,139,230,,168,,,,1,,,,,
Neognathae,Cathartiformes,Cathartidae,Brinkworth_et_al_2023,"Fisher_H.I._1946._Am.Mid.Nat.,_35(3):_545728",Physical,Gymnogyps_californicus,Unknown,Y,8442.7,,,,226,,,138.5,210,,114.7,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Zhang_et_al.,_2010._J.Ornth",Physical,Aegypius_monachus,Unknown,Y,9320.6,,,,267,,,138,206,,130,,,,1,,,,,
Neognathae,Cathartiformes,Cathartidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Vultur_gryphus,MCZ_342,Y,11236.1,,,,260,,,138,220,,121,,,,1,,,,,
Neognathae,Cathartiformes,Cathartidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Gymnogyps_californianus,NHMLAC_unknown,Y,8442.7,,,,278.5,,,137.32,210,,116.41,,,,1,,,,,
Neognathae,Gruiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Grus_carunculatus,ROM_102107,Y,6900,0,,,267.05,52.7,40.95,136.4,368.5,38.6,,,,,1,,,,,
Neognathae,Galliformes,,Field_et_al_(2013),Field_et_al_(2013),Physical,Meleagris_gallopavo,YPM_102053,Y,4300,,,,151.89,49.62,35.1,135.58,246,,166,26.58,F,,1,10.34,9.61,14.91,9.77,91.05
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Manegold_et_al.,_2014._J.Vert.Paleo",Physical,Aegypius_monachus,NHMUK_1848.3.8.2;_SAPM_9;_SMF_6379,Y,9320.6,,,,268,,,135.3,205.5,,128.8,,,,1,,,,,
Neognathae,Ciconiiformes,Ciconiidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Leptoptilos_crumeniferus,NHMLAC_unknown,Y,6067.87,,,,256,,,134.71,381,,295,,,,1,,,,,
Neognathae,Anseriformes,Anatidae,Chan_(2017),Chan_(2017),Physical,Cnemiornis_gracilis,MNZ_S35683,Y,,,,,,,58.5,134.3,,,,,,,1,,,,,
Neognathae,Falconiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Aquila_chrysaetos,ROM_72072,Y,6577,1,,,,,44,133.7,172.5,37.35,,,,,1,,,,,
Neognathae,Pelecaniformes,Pelecanidae,Brinkworth_et_al_2023,"Bell_et_al.,_2021._Front.EarthSci.",Physical,Pelecanus_onocrotalus,NHMLAC_unknown,Y,9322.3,,,,368,,,131.82,219,,147.74,,,,1,,,,,
Neognathae,Gruiformes,,Field_et_al_(2013),Field_et_al_(2013),Physical,Grus_canadensis,YPM_102538,Y,3350,,,,239,46.49,37.68,131.15,302,,257,31.33,M,,1,20.86,9.05,12.35,12.68,75.65
Neognathae,Gruiformes,,Campione_et_al_(2014),Campione_et_al_(2014),Physical,Grus_grus,ROM_102310,Y,5300,0,,,234.1,48.6,38.05,130.95,292.6,32.5,,,,,1,,,,,
Neognathae,Gruiformes,Gruidae,Brinkworth_et_al_2023,"Bohmer_et_al.,_2019._.Proc.R.soc.B",Physical,Grus_grus,MNHN_ZO_1997102,Y,5500,,,,,,,129.2999985,293.7000024,,255.2999972,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Bohmer_et_al.,_2019._.Proc.R.soc.B",Physical,Aquila_chrysaetos,MNHN_ZO_2013362,Y,4248,,,,,,,129.1700001,129.1799999,,88.58999966,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"HiniFrlog_S._&_Motani_R.,_2010._J.Evol.Biol.,_23:_372385.",Physical,Aquila_chrysaetos,Unknown,Y,4248,,,,192.97,,,128.26,165.83,,107.02,,,,1,,,,,
Neognathae,Gruiformes,Gruidae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Leucogeranus_leucogeranus,MCZ_339,Y,5913.44,,,,266,,,128,357,,299,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Manegold_et_al.,_2014._J.Vert.Paleo",Physical,Torgos_tracheliotos,NHMUK_1930.3.24.248;_SMF_1845,Y,6969,,,,252.3,,,128,221,,136.8,,,,1,,,,,
Neognathae,Accipitriformes,Accipitridae,Brinkworth_et_al_2023,"Gatesy_S.M._&_Middleton_K.M.,_1997._J.Vert.Paleo,_17(2):_306329;Middleton_K.M._&_Gatesy_S.M.,_2000._Zoo.J.Linn.Soc,_128:_149187.",Physical,Gyps_fulvus,MCZ_1412,Y,7436,,,,251,,,128,182,,104,,,,1,,,,,
